NAME,GENDER,AGE,AGEGROUP,WEIGHT,OXY,RUNTIME,RUNPULSE,RSTPULSE,MAXPULSE,BIRTH
Donna,여성,42,40대,68.15,59.571,8.17 SEC,166,40,172,1976-04-05
Gracie,,38,30대,81.87,60.055,8.63 SEC,170,48,186,1986-09-06
Luanne,여성,43,40대,85.84,54.297,8.65 SEC,156,45,168,1978-04-07
Mimi,여성,50,50대,70.87,54.625,8.92 SEC,146,48,155,1966-08-08
Chris,남성,49,40대,,49.156,8.95 SEC,180,44,185,1977-02-09
Allen,남성,38,30대,89.02,49.874,9.22 SEC,178,55,180,1988-12-10
Nancy,여성,49,40대,76.32,48.673,9.4 SEC,186,56,188,1977-06-11
Patty,여성,52,50대,76.32,45.441,9.63 SEC,164,48,166,1969-05-12
Suzanne,여성,57,50대,59.08,50.545,9.93 SEC,148,49,155,1964-11-13
Teresa,여성,51,50대,77.91,46.672,10 SEC,162,48,168,1966-04-14
Bob,남성,39,30대,75.07,45.313,10.07 SEC,185,62,185,1990-04-15
Harriett,여성,49,40대,73.37,50.388,10.08 SEC,168,67,168,1976-03-16
Jane,여성,44,40대,73.03,50.541,10.13 SEC,168,45,168,1974-04-17
Harold,남성,48,40대,91.63,46.774,10.25 SEC,162,48,164,1980-12-18
Sammy,남성,54,50대,83.12,51.855,10.33 SEC,166,50,170,1963-11-19
Buffy,여성,52,50대,73.71,45.79,10.47 SEC,186,59,188,1971-04-20
Trent,남성,38,30대,82.7,47.467,10.5 SEC,170,53,172,1991-04-21
Jackie,여성,47,40대,79.15,47.273,10.6 SEC,162,47,164,1976-12-22
Ralph,남성,43,40대,,49.091,10.85 SEC,162,64,170,1979-09-23
Jack,남성,51,50대,69.63,40.836,10.95 SEC,168,57,172,1971-04-24
Annie,여성,51,50대,67.25,45.118,11.08 SEC,172,48,172,1965-08-25
Kate,여성,45,40대,66.45,44.754,11.12 SEC,176,51,176,1976-01-26
Carl,남성,54,50대,79.38,46.08,11.17 SEC,156,62,165,1966-12-27
Don,남성,44,40대,89.47,44.609,11.37 SEC,178,62,182,1979-03-28
Effie,여성,48,40대,61.24,47.92,11.5 SEC,170,52,176,1976-12-29
George,남성,37,30대,77.45,44.811,11.63 SEC,176,58,176,1989-08-30
Iris,여성,39,30대,75.98,45.681,11.95 SEC,176,70,180,1990-05-01
Mark,남성,57,50대,73.37,39.407,12.63 SEC,174,58,176,1968-05-02
Steve,남성,54,50대,91.63,39.203,12.88 SEC,168,144,172,1969-11-03
Vaughn,남성,44,40대,81.42,39.442,13.08 SEC,174,63,176,1976-12-04
William,남성,45,40대,87.66,37.388,14.03 SEC,186,56,192,1979-08-05
